"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","host","C","0.0332672333409625","0.207857391312629","0.496157383730073","0.0196351536259154","0.24308283799042"
"CbMPDiCbraya","host","T","0.0118754647070487","0.0767965264697135","0.408285974521662","0.082981405521959","0.420060628779617"
"CbMPDiCbraya","host","C_vs_T","0.0338810379023529","0.184262558046251","0.376524513628741","0.0310508076822398","0.374281082740416"
