ds,n.min,binID,temperature.pearson.r,pH.pearson.r,DO.pearson.r,Ammonium.pearson.r,Phosphate.pearson.r,Elect_cond.pearson.r,Evapotranspiration.pearson.r,COD.pearson.r,temperature.pearson.p,pH.pearson.p,DO.pearson.p,Ammonium.pearson.p,Phosphate.pearson.p,Elect_cond.pearson.p,Evapotranspiration.pearson.p,COD.pearson.p,abu
0.2,12,bin96,-0.065860061688493,NA,-0.0658600616884907,-0.0658600616884907,-0.0658600616884907,-0.0658600616884908,-0.0658600616884907,-0.0658600616884907,0.593,NA,0.577,0.577,0.562,0.577,0.585,0.539,0.00229366955585323
0.2,12,bin76,0.0410031563104515,-0.0389911622632816,0.0410031563104528,0.0410031563104528,0.0410031563104527,0.0410031563104527,0.0410031563104528,0.0410031563104528,0.216,0.588,0.199,0.182,0.18,0.204,0.204,0.191,0.00856239358475691
0.2,12,bin77,0.221799728922713,NA,0.221799728922711,0.221799728922711,0.221799728922711,0.221799728922711,0.221799728922711,0.221799728922711,0.035,NA,0.043,0.035,0.026,0.029,0.031,0.036,0.00514148105821955
0.2,12,bin78,-0.0102286566831214,-0.02371041371354,-0.0102286566831206,-0.0102286566831206,-0.0102286566831206,-0.0102286566831206,-0.0102286566831206,-0.0102286566831206,0.462,0.533,0.477,0.47,0.435,0.477,0.486,0.452,0.00671426207652042
0.2,12,bin79,0.110891218434483,0.104534984299264,0.110891218434487,0.110891218434487,0.110891218434486,0.110891218434486,0.110891218434487,0.110891218434487,0.093,0.136,0.089,0.1,0.093,0.1,0.1,0.092,0.00657794148255801
0.2,12,bin80,0.229877098025102,NA,0.229877098025102,0.229877098025102,0.229877098025102,0.229877098025102,0.229877098025102,0.229877098025102,0.152,NA,0.156,0.161,0.165,0.162,0.14,0.182,0.00256104107310094
0.2,12,bin81,0.00395040560977156,0.160792521797374,0.00395040560977106,0.00395040560977106,0.00395040560977105,0.00395040560977106,0.00395040560977106,0.00395040560977106,0.379,0.091,0.4,0.407,0.387,0.355,0.396,0.372,0.00475073046781015
0.2,12,bin82,-0.0465570521311783,NA,-0.0465570521311782,-0.0465570521311782,-0.0465570521311782,-0.0465570521311782,-0.0465570521311782,-0.0465570521311782,0.796,NA,0.812,0.812,0.793,0.818,0.801,0.82,0.00643446957827835
0.2,12,bin83,-0.0809016952751007,NA,-0.0809016952751007,-0.0809016952751007,-0.0809016952751007,-0.0809016952751007,-0.0809016952751007,-0.0809016952751007,0.945,NA,0.938,0.946,0.933,0.944,0.944,0.941,0.0074558647296663
0.2,12,bin85,0.0752063800273704,-0.11368024737403,0.0752063800273704,0.0752063800273704,0.0752063800273704,0.0752063800273704,0.0752063800273704,0.0752063800273704,0.216,0.635,0.24,0.239,0.225,0.226,0.217,0.212,0.00341435142390899
0.2,12,bin84,-0.119434545613895,-0.115997916151442,-0.119434545613902,-0.119434545613902,-0.119434545613902,-0.119434545613902,-0.119434545613902,-0.119434545613902,0.859,0.814,0.862,0.883,0.879,0.866,0.876,0.869,0.00405033501455511
0.2,12,bin86,-0.1260035931402,-0.246343913296609,-0.126003593140199,-0.126003593140199,-0.126003593140199,-0.126003593140199,-0.126003593140199,-0.126003593140199,0.905,0.98,0.895,0.888,0.901,0.892,0.904,0.893,0.00434322641817806
0.2,12,bin87,0.0826962870619099,-0.207785020117766,0.0826962870619108,0.0826962870619108,0.0826962870619108,0.0826962870619109,0.0826962870619108,0.0826962870619108,0.147,0.96,0.145,0.175,0.13,0.146,0.155,0.161,0.0124811020577548
0.2,12,bin88,0.0210022079658218,NA,0.0210022079658236,0.0210022079658237,0.0210022079658237,0.0210022079658235,0.0210022079658236,0.0210022079658237,0.371,NA,0.374,0.37,0.377,0.386,0.364,0.37,0.00792052144562642
0.2,12,bin89,0.0119501051851556,-0.0797317007256109,0.0119501051851565,0.0119501051851564,0.0119501051851565,0.0119501051851565,0.0119501051851564,0.0119501051851564,0.291,0.864,0.31,0.347,0.359,0.304,0.3,0.344,0.00804678311587019
0.2,12,bin90,-0.0018295400413304,-0.0738721318345181,-0.00182954004133032,-0.00182954004133032,-0.00182954004133033,-0.00182954004133033,-0.00182954004133032,-0.00182954004133032,0.453,0.683,0.445,0.453,0.454,0.448,0.458,0.451,0.0179001746904873
0.2,12,bin91,0.184029009985485,-0.130104750075912,0.184029009985486,0.184029009985486,0.184029009985486,0.184029009985486,0.184029009985486,0.184029009985486,0.013,0.74,0.016,0.02,0.009,0.012,0.013,0.015,0.00642594656952415
0.2,12,bin92,0.10003682480848,-0.0879463890754515,0.100036824808483,0.100036824808483,0.100036824808483,0.100036824808483,0.100036824808483,0.100036824808483,0.177,0.735,0.148,0.145,0.167,0.147,0.146,0.142,0.0160243239930339
0.2,12,bin93,0.0117443004988506,-0.100901294222284,0.0117443004988467,0.0117443004988468,0.0117443004988469,0.0117443004988466,0.0117443004988468,0.0117443004988469,0.399,0.649,0.379,0.384,0.372,0.385,0.366,0.393,0.00689912425502609
0.2,12,bin94,0.0222711047948307,-0.0435002445384707,0.0222711047948301,0.0222711047948301,0.0222711047948301,0.0222711047948301,0.0222711047948301,0.0222711047948301,0.242,0.703,0.239,0.248,0.243,0.226,0.222,0.228,0.00763998197747265
0.2,12,bin95,-0.0521135624137026,NA,-0.0521135624137026,-0.0521135624137026,-0.0521135624137025,-0.0521135624137026,-0.0521135624137026,-0.0521135624137026,0.829,NA,0.828,0.815,0.835,0.809,0.801,0.814,0.00728505364968083
0.2,12,bin97,-0.0220210596687423,NA,-0.0220210596687423,-0.0220210596687423,-0.0220210596687423,-0.0220210596687423,-0.0220210596687423,-0.0220210596687423,0.525,NA,0.532,0.552,0.556,0.567,0.529,0.522,0.00194505776026603
0.2,12,bin98,0.279495387109417,-0.157578986254475,0.279495387109419,0.279495387109419,0.279495387109419,0.279495387109419,0.279495387109419,0.279495387109419,0.035,0.718,0.043,0.043,0.042,0.05,0.047,0.045,0.0063229307276409
0.2,12,bin101,0.0367182725262264,NA,0.0367182725262275,0.0367182725262275,0.0367182725262275,0.0367182725262275,0.0367182725262275,0.0367182725262275,0.183,NA,0.203,0.221,0.205,0.205,0.195,0.215,0.00557743020011968
0.2,12,bin99,0.143600758223973,0.0337157579972971,0.143600758223973,0.143600758223973,0.143600758223973,0.143600758223973,0.143600758223973,0.143600758223973,0.01,0.232,0.007,0.012,0.009,0.011,0.012,0.009,0.0146284724816908
0.2,12,bin100,0.0571590803417989,NA,0.0571590803417989,0.0571590803417989,0.057159080341799,0.057159080341799,0.0571590803417989,0.057159080341799,0.211,NA,0.199,0.206,0.218,0.208,0.179,0.199,0.00425693553130533
0.2,12,bin102,0.015332085700616,NA,0.015332085700616,0.015332085700616,0.015332085700616,0.015332085700616,0.015332085700616,0.015332085700616,0.323,NA,0.309,0.322,0.321,0.318,0.297,0.315,0.00446158162869427
0.2,12,bin103,-0.0188307903501885,NA,-0.0188307903501885,-0.0188307903501885,-0.0188307903501885,-0.0188307903501885,-0.0188307903501885,-0.0188307903501885,0.618,NA,0.633,0.64,0.658,0.658,0.612,0.62,0.00470609746475269
0.2,12,bin104,-0.0123891789435616,-0.0789669079122444,-0.0123891789435612,-0.0123891789435612,-0.0123891789435612,-0.012389178943561,-0.0123891789435612,-0.0123891789435612,0.346,0.664,0.346,0.374,0.357,0.351,0.358,0.35,0.00421498833973129
0.2,12,bin105,0.0853003729870874,-0.152889809982425,0.0853003729870894,0.0853003729870894,0.0853003729870893,0.0853003729870892,0.0853003729870894,0.0853003729870894,0.211,0.929,0.204,0.223,0.198,0.206,0.209,0.201,0.00887058188696241
0.2,12,bin108,-0.046028142077992,-0.00116672996611541,-0.0460281420779944,-0.0460281420779944,-0.0460281420779944,-0.0460281420779943,-0.0460281420779945,-0.0460281420779944,0.618,0.416,0.653,0.647,0.627,0.639,0.64,0.657,0.0105588046997709
0.2,12,bin106,-0.0210141511896932,-0.0540152167932119,-0.0210141511896927,-0.0210141511896927,-0.0210141511896927,-0.0210141511896928,-0.0210141511896927,-0.0210141511896927,0.64,0.742,0.625,0.626,0.606,0.627,0.631,0.635,0.00599128475428585
0.2,12,bin107,0.0883881924178333,0.0824245431072469,0.088388192417833,0.088388192417833,0.088388192417833,0.088388192417833,0.088388192417833,0.0883881924178331,0.097,0.159,0.098,0.105,0.096,0.115,0.108,0.081,0.0126642351951172
