ds,n.min,index,r.cutoff,p.cutoff,temperature.pearson,pH.pearson,DO.pearson,Ammonium.pearson,Phosphate.pearson,Elect_cond.pearson,Evapotranspiration.pearson,COD.pearson
0.2,12,RAsig,0.1,0.05,0.310271681386031,0.0203283445332979,0.325106477501293,0.162396938505644,0.310906484724002,0.31490077996749,0.303550044250226,0.307265485802146
0.2,12,RAsig.adj,0.1,0.05,0.310647142221838,0.0203529439333945,0.325499889975238,0.162593455603148,0.311282713737526,0.315281842491517,0.303917371209665,0.30763730883027
0.2,12,MeanR.sig,0.1,0.05,0.169404803417105,0.151052244241906,0.169131099875843,0.223542013025684,0.1702553514735,0.168395428557093,0.167738700075383,0.169761787611007
0.2,12,MeanR,NA,NA,0.0716169551529954,-0.0491063506635266,0.0716169551529953,0.0716169551529953,0.0716169551529953,0.0716169551529953,0.0716169551529953,0.0716169551529953
