"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","CaS3_S35_L001","CaS4_S47_L001",0.0332672333409625,0.207857391312629,0.496157383730073,0.0196351536259154,0.24308283799042
"CbMPDiCbraya","CaS3_S35_L001","TgS1_S11_L001",0.0734516642744401,0.1472413635784,0.462726059325304,0.0187683309159502,0.297812581905905
"CbMPDiCbraya","CaS3_S35_L001","TgS2_S23_L001",0.045393850035864,0.38943421878162,0.0931581238558736,0.0398179749911427,0.432195832335499
"CbMPDiCbraya","CaS4_S47_L001","TgS1_S11_L001",0.0139873993421851,0.141796138302649,0.568723731131203,0.0125914279161058,0.262901303307857
"CbMPDiCbraya","CaS4_S47_L001","TgS2_S23_L001",0.00269123795692247,0.0585785115223329,0.381490140202582,0.0530254969057603,0.504214613412402
"CbMPDiCbraya","TgS1_S11_L001","TgS2_S23_L001",0.0118754647070487,0.0767965264697135,0.408285974521662,0.082981405521959,0.420060628779617
