ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV209	0	90	0	0	0
ASV210	89	0	0	0	0
ASV211	46	43	0	0	0
ASV212	37	0	31	21	0
ASV213	32	29	0	28	0
ASV214	0	50	39	0	0
ASV215	0	10	50	29	0
ASV216	0	9	33	21	26
ASV217	0	0	89	0	0
ASV218	0	0	0	0	89
ASV219	60	0	28	0	0
ASV220	52	0	36	0	0
ASV221	31	57	0	0	0
ASV222	30	32	0	26	0
ASV223	0	39	49	0	0
ASV224	0	0	88	0	0
ASV225	0	0	35	53	0
ASV226	51	36	0	0	0
ASV227	34	20	0	33	0
ASV228	0	35	28	24	0
ASV229	0	0	0	0	87
ASV230	86	0	0	0	0
ASV231	51	14	0	0	21
ASV232	0	0	0	0	86
ASV233	0	24	12	49	0
ASV234	35	49	0	0	0
ASV235	30	54	0	0	0
ASV236	41	16	6	20	0
ASV237	24	15	44	0	0
ASV238	0	83	0	0	0
ASV239	0	0	46	37	0
ASV240	0	0	0	0	83
ASV241	74	8	0	0	0
ASV242	56	0	0	26	0
ASV243	34	0	0	0	48
ASV244	0	82	0	0	0
ASV245	0	82	0	0	0
ASV246	0	50	32	0	0
ASV247	0	0	82	0	0
ASV248	0	0	71	11	0
ASV249	0	0	53	29	0
ASV250	81	0	0	0	0
ASV251	81	0	0	0	0
ASV252	53	28	0	0	0
ASV253	23	0	42	16	0
ASV254	19	35	7	20	0
ASV255	0	40	0	0	41
ASV256	0	0	81	0	0
ASV257	0	0	81	0	0
ASV258	0	0	0	81	0
ASV259	0	0	0	0	81
ASV260	0	80	0	0	0
ASV261	0	9	64	7	0
ASV262	0	0	0	0	80
ASV263	0	0	0	0	80
ASV264	79	0	0	0	0
ASV265	79	0	0	0	0
ASV266	59	20	0	0	0
ASV267	0	72	0	7	0
ASV268	0	0	30	36	13
ASV269	0	0	0	17	62
ASV270	78	0	0	0	0
ASV271	32	46	0	0	0
ASV272	22	43	13	0	0
ASV273	17	50	11	0	0
ASV274	0	26	52	0	0
ASV275	0	18	42	0	18
ASV276	0	16	62	0	0
ASV277	0	14	64	0	0
ASV278	0	0	78	0	0
ASV279	77	0	0	0	0
ASV280	47	30	0	0	0
ASV281	24	18	16	19	0
ASV282	0	47	0	0	30
ASV283	0	0	0	0	77
ASV284	0	0	0	0	77
ASV285	49	27	0	0	0
ASV286	46	0	0	30	0
ASV287	28	0	9	39	0
ASV288	0	76	0	0	0
ASV289	0	0	46	30	0
ASV290	75	0	0	0	0
ASV291	0	75	0	0	0
ASV292	0	41	34	0	0
ASV293	0	0	75	0	0
ASV294	0	0	0	0	75
ASV295	0	0	0	0	75
ASV296	0	0	0	0	75
ASV297	53	0	21	0	0
ASV298	38	36	0	0	0
ASV299	32	29	0	13	0
ASV300	0	74	0	0	0
ASV301	0	74	0	0	0
ASV302	0	0	74	0	0
ASV303	0	0	74	0	0
ASV304	0	0	0	0	74
ASV305	7	0	66	0	0
ASV306	0	73	0	0	0
ASV307	0	27	0	0	46
ASV308	0	0	73	0	0
ASV309	0	0	41	32	0
ASV310	0	0	0	0	73
ASV311	72	0	0	0	0
ASV312	72	0	0	0	0
ASV313	54	0	0	18	0
ASV314	0	50	22	0	0
ASV315	0	0	53	19	0
ASV316	0	0	0	0	72
ASV317	6	0	0	65	0
ASV318	0	71	0	0	0
ASV319	0	0	71	0	0
ASV320	0	0	35	36	0
ASV321	0	0	0	71	0
ASV322	0	0	0	0	71
ASV323	0	0	0	0	71
ASV324	0	0	0	0	71
ASV325	0	0	0	0	71
ASV326	0	0	0	0	71
ASV327	0	70	0	0	0
ASV328	0	70	0	0	0
ASV329	0	60	0	10	0
ASV330	0	0	70	0	0
ASV331	0	0	0	70	0
ASV332	0	0	0	0	70
ASV333	0	0	0	0	70
ASV334	0	0	0	0	70
ASV335	69	0	0	0	0
ASV336	69	0	0	0	0
ASV337	22	47	0	0	0
ASV338	0	0	38	31	0
ASV339	0	0	0	0	69
ASV340	68	0	0	0	0
ASV341	68	0	0	0	0
ASV342	68	0	0	0	0
ASV343	46	0	22	0	0
ASV344	45	0	23	0	0
ASV345	10	25	16	17	0
ASV346	0	68	0	0	0
ASV347	0	0	68	0	0
ASV348	0	0	68	0	0
ASV349	0	0	68	0	0
ASV350	50	0	0	17	0
ASV351	0	67	0	0	0
ASV352	0	0	67	0	0
ASV353	0	0	0	0	67
ASV354	0	0	0	0	67
ASV355	42	0	0	24	0
ASV356	26	27	13	0	0
ASV357	20	46	0	0	0
ASV358	18	48	0	0	0
ASV359	0	66	0	0	0
ASV360	0	66	0	0	0
ASV361	0	51	0	15	0
ASV362	0	16	0	0	50
ASV363	0	0	66	0	0
ASV364	0	0	66	0	0
ASV365	0	0	66	0	0
ASV366	0	0	66	0	0
ASV367	0	0	53	13	0
ASV368	0	0	0	66	0
ASV369	0	0	0	0	66
ASV370	0	0	0	0	66
ASV371	0	0	0	0	66
ASV372	65	0	0	0	0
ASV373	65	0	0	0	0
ASV374	65	0	0	0	0
ASV375	39	26	0	0	0
ASV376	0	65	0	0	0
ASV377	0	0	40	25	0
ASV378	0	0	0	0	65
ASV379	0	0	0	0	65
ASV380	0	0	0	0	65
ASV381	0	0	0	0	65
ASV382	0	0	0	0	65
ASV383	0	0	0	0	65
ASV384	0	49	0	0	15
ASV385	0	0	64	0	0
ASV386	0	0	27	37	0
ASV387	0	0	0	0	64
ASV388	0	0	0	0	64
ASV389	0	0	0	0	64
ASV390	0	0	0	0	64
ASV391	63	0	0	0	0
ASV392	63	0	0	0	0
ASV393	21	28	14	0	0
ASV394	5	0	0	0	58
ASV395	0	0	63	0	0
ASV396	0	0	42	21	0
ASV397	0	0	0	0	63
ASV398	0	0	0	0	63
ASV399	0	0	0	0	63
ASV400	46	0	16	0	0
ASV401	0	62	0	0	0
ASV402	0	62	0	0	0
ASV403	0	62	0	0	0
ASV404	0	62	0	0	0
ASV405	0	62	0	0	0
ASV406	0	62	0	0	0
ASV407	0	50	7	5	0
ASV408	0	33	0	0	29
ASV409	0	26	0	0	36
ASV410	0	16	46	0	0
