ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV203	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	uncultured	uncultured bacterium
ASV204	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax	uncultured bacterium
ASV205	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
ASV206	Bacteria	Firmicutes	Bacilli	Bacillales	NA	uncultured	uncultured bacterium
ASV207	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	uncultured bacterium
ASV208	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured bacterium
ASV209	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	uncultured	uncultured bacterium
ASV210	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	uncultured bacterium
ASV211	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
ASV212	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	uncultured	uncultured bacterium
ASV213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured bacterium
ASV214	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Ancalomicrobiaceae	Ancalomicrobium	uncultured bacterium
ASV215	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured	uncultured bacterium
ASV216	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Denitratisoma	uncultured bacterium
ASV217	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	uncultured bacterium
ASV218	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Desmonostoc PCC-7422	uncultured bacterium
ASV219	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured	uncultured bacterium
ASV220	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	uncultured bacterium
ASV221	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured bacterium
ASV222	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
ASV223	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	uncultured	uncultured bacterium
ASV224	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured bacterium
